case_id,source_path,output_glb,output_usdz,before_tris,after_tris,before_vertices,after_vertices,before_bytes,after_glb_bytes,after_usdz_bytes,before_bounds_m,after_anatomy_bounds_m,scale_factor,decimation_ratio,watertight_before,watertight_after,blender_used,usdz_status,validation_status,notes
public-prostate158-groundtruth-demo,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\public-prostate158-groundtruth-demo\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\public-prostate158-groundtruth-demo\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\public-prostate158-groundtruth-demo\model.usdz,265940,91976,132988,46175,5814452,194636,740252,"{""min"":[-0.02506,-0.020581,-0.024713],""max"":[0.026864,0.01684,0.017287]}","{""min"":[-0.02594,-0.018702,-0.021],""max"":[0.028938,0.018724,0.021]}",1.0,0.2753817224520496,4,7,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimated_265900_to_73224; lesion_visibility_halos_added_1
public-prostate158-monai-inferred-demo,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\public-prostate158-monai-inferred-demo\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\public-prostate158-monai-inferred-demo\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\public-prostate158-monai-inferred-demo\model.usdz,109862,61350,55019,30897,2432328,149140,532584,"{""min"":[-0.016493,-0.01103,-0.019394],""max"":[0.017733,0.011047,0.017323]}","{""min"":[-0.017109,-0.010951,-0.018347],""max"":[0.017104,0.010951,0.018349]}",1.0,0.548778926186774,3,2,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimated_109330_to_59998
pv-case-001,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-001\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-001\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-001\model.usdz,63804,70476,33110,35524,260036,164844,594582,"{""min"":[-0.027605,-0.019308,-0.027741],""max"":[0.028454,0.01874,0.021782]}","{""min"":[-0.02803,-0.018994,-0.024762],""max"":[0.02803,0.018994,0.024762]}",1.0,1.0,4,13,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-002,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-002\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-002\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-002\model.usdz,63804,70582,33119,35455,261468,166956,581862,"{""min"":[-0.035022,-0.031242,-0.040504],""max"":[0.035057,0.025023,0.035844]}","{""min"":[-0.035039,-0.028101,-0.038174],""max"":[0.035039,0.029361,0.038174]}",1.0,1.0,3,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-003,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-003\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-003\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-003\model.usdz,63804,70574,33126,35455,258916,163572,579328,"{""min"":[-0.034752,-0.030342,-0.036856],""max"":[0.035968,0.02648,0.04111]}","{""min"":[-0.03536,-0.02838,-0.038983],""max"":[0.03536,0.02838,0.038983]}",1.0,1.0,3,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-004,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-004\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-004\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-004\model.usdz,60488,64088,31456,32214,250512,149500,522342,"{""min"":[-0.036779,-0.019359,-0.030455],""max"":[0.035042,0.018006,0.026891]}","{""min"":[-0.035911,-0.018665,-0.028673],""max"":[0.035911,0.018665,0.028673]}",1.0,1.0,4,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-005,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-005\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-005\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-005\model.usdz,58804,60470,30572,30483,249820,144172,506619,"{""min"":[-0.025492,-0.020502,-0.025364],""max"":[0.023377,0.018014,0.024926]}","{""min"":[-0.024434,-0.019239,-0.025145],""max"":[0.024434,0.019239,0.025145]}",1.0,1.0,3,10,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-006,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-006\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-006\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-006\model.usdz,61952,66981,32192,33667,253896,154624,548475,"{""min"":[-0.030991,-0.023387,-0.036972],""max"":[0.030607,0.024454,0.035367]}","{""min"":[-0.030799,-0.023902,-0.036169],""max"":[0.030799,0.023902,0.036169]}",1.0,1.0,4,16,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-007,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-007\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-007\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-007\model.usdz,60320,63764,31364,32044,253424,151928,522271,"{""min"":[-0.035282,-0.027456,-0.038663],""max"":[0.034459,0.028539,0.033735]}","{""min"":[-0.034871,-0.027973,-0.036199],""max"":[0.034871,0.027973,0.036199]}",1.0,1.0,4,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-008,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-008\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-008\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-008\model.usdz,58804,60732,30614,30534,250924,145092,509969,"{""min"":[-0.032893,-0.028626,-0.028423],""max"":[0.033063,0.025717,0.022443]}","{""min"":[-0.032978,-0.027141,-0.025433],""max"":[0.032978,0.027141,0.025433]}",1.0,1.0,3,15,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-009,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-009\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-009\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-009\model.usdz,63260,69932,32840,35254,246500,154992,534142,"{""min"":[-0.020948,-0.019854,-0.022922],""max"":[0.022154,0.012978,0.021302]}","{""min"":[-0.021551,-0.018083,-0.022112],""max"":[0.021551,0.016416,0.022112]}",1.0,1.0,4,13,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-010,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-010\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-010\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-010\model.usdz,63802,70600,33099,35455,259160,163416,568136,"{""min"":[-0.032139,-0.027687,-0.030727],""max"":[0.029637,0.025647,0.025781]}","{""min"":[-0.030888,-0.026651,-0.028254],""max"":[0.030888,0.026651,0.028254]}",1.0,1.0,4,16,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-011,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-011\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-011\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-011\model.usdz,61364,65778,31899,33057,254928,155196,538489,"{""min"":[-0.034368,-0.025538,-0.035781],""max"":[0.035867,0.023029,0.034497]}","{""min"":[-0.035117,-0.025337,-0.035139],""max"":[0.035117,0.024267,0.035139]}",1.0,1.0,3,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-012,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-012\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-012\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-012\model.usdz,63772,70574,33090,35447,260156,164820,570474,"{""min"":[-0.032669,-0.021769,-0.03366],""max"":[0.033389,0.02277,0.029216]}","{""min"":[-0.033029,-0.022254,-0.031438],""max"":[0.033029,0.022254,0.031438]}",1.0,1.0,4,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-013,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-013\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-013\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-013\model.usdz,59476,61808,30948,31192,249184,146096,504191,"{""min"":[-0.027025,-0.019892,-0.026479],""max"":[0.025446,0.017303,0.026117]}","{""min"":[-0.026236,-0.018581,-0.026298],""max"":[0.026236,0.018581,0.026298]}",1.0,1.0,4,13,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-014,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-014\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-014\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-014\model.usdz,63108,69322,32760,34823,256508,159392,556051,"{""min"":[-0.031359,-0.024168,-0.026557],""max"":[0.031688,0.022895,0.030067]}","{""min"":[-0.031523,-0.023517,-0.028312],""max"":[0.031523,0.023517,0.028312]}",1.0,1.0,4,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-015,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-015\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-015\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-015\model.usdz,58804,60732,30614,30534,247888,142100,497556,"{""min"":[-0.028349,-0.021165,-0.031181],""max"":[0.028007,0.019671,0.031384]}","{""min"":[-0.028178,-0.020403,-0.031283],""max"":[0.028178,0.020403,0.031283]}",1.0,1.0,3,15,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-016,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-016\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-016\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-016\model.usdz,58804,60664,30617,30496,250328,144336,503040,"{""min"":[-0.042026,-0.035865,-0.041314],""max"":[0.043224,0.032641,0.041187]}","{""min"":[-0.042625,-0.034231,-0.041251],""max"":[0.042625,0.034231,0.041251]}",1.0,1.0,2,15,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-017,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-017\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-017\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-017\model.usdz,58804,60728,30613,30519,249640,143724,506762,"{""min"":[-0.029162,-0.023217,-0.031695],""max"":[0.029702,0.018305,0.030872]}","{""min"":[-0.029432,-0.020745,-0.031284],""max"":[0.029432,0.020745,0.031284]}",1.0,1.0,2,14,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-018,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-018\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-018\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-018\model.usdz,63794,70360,33170,35308,262044,166324,576642,"{""min"":[-0.038561,-0.029092,-0.035796],""max"":[0.035067,0.028193,0.039804]}","{""min"":[-0.038684,-0.033165,-0.0378],""max"":[0.036814,0.02862,0.0378]}",1.0,1.0,2,17,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
pv-case-019,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-019\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-019\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-019\model.usdz,58804,60728,30604,30525,247900,141872,500073,"{""min"":[-0.036725,-0.043872,-0.039953],""max"":[0.038798,0.035465,0.039803]}","{""min"":[-0.037762,-0.03965,-0.039878],""max"":[0.037762,0.03965,0.039878]}",1.0,1.0,3,14,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-020,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\public\demo-cases\pv-case-020\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-020\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\prostateview-web-publish\models_ar_human\pv-case-020\model.usdz,60040,63173,31258,31753,250364,148436,515848,"{""min"":[-0.027715,-0.023364,-0.035049],""max"":[0.029089,0.022607,0.034043]}","{""min"":[-0.028402,-0.023292,-0.034546],""max"":[0.028402,0.02297,0.034546]}",1.0,1.0,3,16,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed; lesion_visibility_halos_added_1
